Name,Description,Action,Uses,Chief Ingredient,Ingredients,Preparation,Dose
Sugar,"Its name is due to its ingredient Sapistan (Cordia dichotama,C. latifolia
						fruit).",,,"Sapistan (Cordia dichotama, C. latifolia fruit)","Sapistan (Cordia dichotama, C. latifolia fruit), 40 in number ; Unnab (Zizyfus sativa fruit), 25 ; Aslussoos (Glycerrhiza glabra root), 10 gm; Tukhme Khatmi (Althea officinalis seed), 10 gm; Tukhme Khubbazi (Malva sylvestris seed), 10 gm; Persiaoshan (Adiantum capillus herb), 10 gm; Gaozaban (Borage officinalis herb), 10 gm; Gule Zoofa (Hyssopus officinalis flower), 10 gm; Behi Dana (Cydonia quincy seed), 5 gm; Anjir (Ficus carica fruit), 10 ; Maveez Munaqqa (Vitis vinifera seed less fruit), 50 ; Post Khashkhash (Papaver somniferum seed coat), 75 gm; Rubbussoos (Glycyrrhiza glabra extract), 10 gm; Shaker Teghal (Teghal cocoon), 10 gm; Tukhme Khashkhash (Papaver somniferum seed), 10 gm; Jau Muqashsher (Hordium vulgare husk less seed), 10 gm; Sugar (), 3 times of all drugs ","Make powder of Rubbussoos (Glycyrrhiza glabra extract), Shaker Teghal
						(Teghal cocoon), Tukhme Khashkhash (Papaver somniferum seed) and Jau
						Muqashsher (Hordium vulgare husk less seed). Soak rest of the drugs in water
						at night. Boil them in the morning, mesh well and filter, mix sugar and
						prepare Qiwam (Basic Solution of Particular consistency). Lastly mix
						powdered drugs.","5-10
						gm"
Turanjabeen,,"Mughalliz Mani (Semen Procreator), Muqavvi Bah (Aphrodisiac)","Riqqat Mani (Spermatorrhoea), Sur-ate Inzal (Premature ejaculation), Kasrat
						Ahtelam (Excessive nocturnal Emission),",,"Khurma (Phoenix dactylifera fruit), ½ Kg; Samagh Arabi (Acacia arabica gum), ½ Kg; Singhara Khushk (Trapa bispinosa dried fruit), ½ Kg; Maghz Badam Sheereen (Prunus amygdalus fruit kernel), 50 gm; Maghz Chilghoza (Pinus gerardiana seed kernel), 50 gm; Maghz Funduq (Corylus avellana seed kernel), 50 gm; Maghz Pamba Dana (Gossypium herbaceum seed kernel), 10 gm; Qaranfal (Syzygium aromaticum bud), 6 gm; Javitry (Myristica fragrance fruit coat), 3 gm; Jaifal (Myristica fragrance fruit), 3 gm; Asl (Honey), 250 gm; Turanjabeen (Tamarix indica gum), 250 gm","Make Powder of all drugs. Make Qiwam (Basic Solution of Particular
						consistency) of Asl (Honey) and Turanjabeen (Tamarix indica gum) in water,
						and mix the powder of other than following these drugs. Maghz Pamba Dana
						(Gossypium herbaceum seed kernel), Qaranfal (Caryophyllus aromatica bud),
						Javitry (Myristica fragrance fruit coat), Jaifal (Myristica fragrance
						fruit). Lastly mix the powder of these drugs","10
						gm with Milk or any other suitable vehicle."
Asl,,"Muqavvi Meda (Gastric tonic), Muqavvi Masana (Urinary bladder tonic),
						MuqavviAasab (Nervine tonic) and Muqavvi Baah (Aphrodisiac).","Amraz Asbania Balghamia (Nervine, Phlegmatic Diseases), Wajaul Mafasil
						(Arthralgia), Niqras (Gout), Irqunnisa (Sciatica), Falij (Paralysis), Laqva
						(Facial Palsy), Rasha (Tremer), Sara (Epilepsy) and Atishak (Syphilis).",Azaraqi (Strychnos nuxvomica seed),"Kuchla Mudabbar (Strychnos nuxvomica detoxified seed), 20 gm; Berg Gaozaban (Hyssopus officinalis leaf), 15 gm; Kateera (Astragallus gummifera gum), 12 gm; Maghz Chilghoza (Pinus gerardiana seed kernel), 12 gm; Narjeel (Lodoicea maldivica fruit pulp), 12 gm; Ustokhuddoos (Lavandula stoechas flower), 12 gm; Amla Muqashsher (Emblica officinalis seed less fruit), 9 gm; Dana Heel Khurd (Elettaria cardamomum seed)), 9 gm; Haleela Siyah (Terminelia chebula unripe fruit), 9 gm; Burada Sandal safed (Santalum album wood powder), 9 gm; Shaqaqul (Pustinaca secacul root), 9 gm; Zaranbad (Curcuma zedoria root), 9 gm; Ood Hindi (Aquilaria agallocha fungus), 4 ½ gm; Qaranfal (Caryophyllus aromatica bud), 4 ½ gm; Asl (Honey), three times of all ingredients ","Make the powder of all constituents and mix in Qiwam (Basic Solution of
						Particular consistency) of Asl (Honey).","3-7
						gm"
Asl,,"Muqavvi Bah (Aphrodisiac),AmrazAsbania Balghamia (Nervine and Phlegmatic
						diseases) and Muqavvi Hafiza (Memory enhancer)",,Beladur (Semicarpus anacardium fruit),"Beladur (Semicarpus anacardium without fruit cap), ½ kg; Milk (), 1 litre; Eggyolk (), 20 in number; Asl (Honey), 1 ¾ kg; Sugar (), 1 ¾ kg; Aqirqarha (Anacylus pyrethrum root), 15 gm; Dar Chini (Cinnamomum zeylanicum bark), 15 gm; Heel Khurd (Elettaria cardamomum fruit), 15 gm; Javitry (Myristica fragrance fruit coat), 15 gm; Qaranfal (Caryophyllus aromatica bud), 15 gm; Zafran (Crocus sativa gynacium), 15 gm; Beerbahooti (Mutilla occidentalis), 10 gm; Khoolanjan (Alpinia galanga root), 30 gm; Salab (Orchis latifolia root), 30 gm; Zanjabil (Zingiber officinalis rhizome), 30 gm; Maghz Akhrot (Juglans regia fruit kernel), 25 gm; Maghz Badam (Prunus amygdalus kernel), 50 gm; Maghz Chilghoza (Pinus gerardiana seed kernel), 25 gm; Maghz Narjeel (Lodoicea maldivica fruit pulp), 25 gm; Maghz Pista (Pistacia vera seed kernel), 25 gm; Tukhm Gazer (Daucus carota seed), 25 gm; Tukhm Turb (Rafanus sativus seed), 25 gm; Amla Khushk (Emblica officinalis seed less fruit), 50 gm; Maghz Pamba Dana (Gossypium herbasicum seed kernel), 50 gm; Tukhm Pyaz safed (Allium cepa seed), 50 gm; Kharateen Mudabbar (Earthworms Cleaned), 200 gm; Musk (Moschcus moschiferus secretion of a gland), 3 gm; Marvareed (Mytilus margaritiferus pearl), 6 gm; Verq Nuqra (Silver leaf), 6 gm; Amber (Ambra grasea), 1 ½ gm; Asaroon (Valerina wallichii DC root),  ; Dana Heel Khurd (Elettaria cardamomum seed),  ; Dar Chini (Cinnamomum zeylanicum bark),  ; Ghafis (Agrimonia expatoria Linn flower),  ; Habbe Balsan (Balsamodendron opobalsamum fruit),  ; Izkher (Cymbopogon jwarancusa Schult root),  ; Lac maghsool (Cocus lacca purified latex),  ; Mastagi (Pistacia mastic resin),  ; Ood Gharqi (Aquilaria agallocha fungus),  ; Qaranfal (Caryophyllus aromatica bud),  ; Qust Sheereen (Sassurea lappa root),  ; Sumbuluttib (Nardostachis jatamansi root),  ; Tabasheer (Bambusa arundinasia dried secretion on node),  ; Tukhme Karafs (Carum roxburghianum seed),  ; Tukhme Kasni (Cichorium intybus seed),  ; Tukhme Kasoos (Cuscuta reflexa seed),  ; Zafran (Crocus sativa),  ; Zaravand Taveel (Aristolochia longa root), All equal in weight ; Gul Surkh (Rosa damascena petals), equal to all above drugs
								weight ; Asl (Honey), Three times of all drugs weight ","Boil Beladur (Semicarpus anacardium without fruit cap) in Milk and make curd
						of this milk and obtain butter. Mix Egg yolk in this butter and cook, add
						Qiwam (Basic Solution of Particular consistency) of Asl (Honey) and sugar.
						Make powder of Aqirqarha (Anacylus pyrethrum root), Dar Chini (Cinnamomum
						zeylanicum bark), Heel Khurd (Elettaria cardamomum fruit), Qaranfal
						(Caryophyllus aromatica bud), Javitry (Myristica fragrance fruit coat),
						Zafran (Crocus sativa gynacium), Beerbahooti (Mutilla occidentalis),
						Zanjabil (Zingiber officinalis rhizome), Khoolanjan (Alpinia galanga root),
						Salab (Orchis latifolia root), Tukhme Gazer (Daucus carota seed), Tukhme
						Turb (Rafanus sativus seed), Maghz Chilghoza (Pinus gerardiana seed kernel),
						Maghz Akhrot (Juglans regia fruit kernel), Maghz Narjeel (Lodoicea maldivica
						fruit pulp), Maghz Pista (Pistacia vera seed kernel), Maghz Badam (Prunus
						amygdalus kernel), Tukhm Pyaz safed (Allium cepa seed), Amla Khushk (Emblica
						officinalis seed less fruit), Maghz Pamba Dana (Gossypium herbasicum seed
						kernel) and Kharateen Mudabbar (Earthworms Cleaned). Lastly make powder of
						Musk (Moschcus moschiferus secretion of a gland), Marvareed (Mytilus
						margaritiferus pearl), AmberAsh-hab (Ambra grasea) and Verq Nuqra (Silver
						leaf) in Kharal (Mortar) with Dasta (Pestle) and mix in Qiwam (Basic
						Solution of Particular consistency).","3-7
						gm"
,,,,,,,
Asl,Its name is given due to its use for intellectuals to improve mental power.,"Muqavvi Dimagh (Brain tonic), Muqavvi Aasab (Nervine tonic), Muqavvi Meda
						(Gastric tonic), Muqavvi Baah (Aphrodisiac) and Muallid Mani (Semen
						Procreator)","It enhances mental power. It is used in Sue Hazm (Dyspepsia), Wajaul kulliya
						(Kidney Pain), Wajaul Mafasil (Arthralgia). It is beneficial in Salasul Bol
						(Incontinence of Urine)",Maghz Chilghoza (Pinus gerardiana kernel),"Tukhm Baboona (Anthemis nobilis seed), 15 gm; Amla Muqashsher (Emblica officinalis Gaertin crushed fruit), 30 gm; Beikh Baboona (Anthemis nobilis root), 30 gm; Filfil Daraz (Piper longum fruit), 30 gm; Filfil Siyah (Piper nigrum fruit), 30 gm; Maghz Chilghoza (Pinus gerardiana kernel), 30 gm; Narjeel Taaza (Lodoicea maldivica Pers fresh fruit), 30 gm; Salab Misri (Orchis latifolia root), 30 gm; Sheetraj (Plumbago zeylanicum), 30 gm; Zanjabil (Zingiber officinalis rhizome), 30 gm; Zaravand Mudharij (Aristolochia rotunda root), 30 gm; Maveez Munaqqa (Vitis vinifera seed less fruit), 90 gm; Asl (Honey), Two Times of all drugs weight ","Make the powder of all drugs. Mix in Qiwam (Basic Solution of Particular
						consistency) ofAsl (Honey).","5-7
						gm"
Asl,"Fanjnosh is derived from Panjnosh. It means five drugs i.e. Khabsul Hadeed
						(Iron Rust), Haleela (Terminelia chebula fruit), Balela (Terminelia
						belerica), Amla (Emblica officinalis Gaertin fruit) and Asl (Honey). It is
						also called Majun Khabsul Hadeed.","Muqavvi Meda (Gastric tonic), Muqavvi Jiger (Liver tonic), Muqavvi Bah
						(Aphrodisiac) and Mumsik Mani (Avaricious)","Zofe Meda (Weakness of Stomach), Su-ul-Qinya (Anaemia), Istisqa (Dropsy),
						Salasul Bol (Incontinence of Urine)",Khabsul Hadeed,"Amla (Emblica officinalis fruits),  ; Balela (Terminelia belerica fruit),  ; Haleela (Terminelia chebula fruit),  ; Khabsul Hadeed (Iron Rust), Equal in weight ; Asl (Honey),  ","Make powder of all ingredients and mix in Qiwam (Basic Solution of
						Particular consistency) of Asl (Honey)","5-7
						gm"
Sharab Angoor,Its name is due to its Mufarreh (Refrigerant) action to Rooh.,"Muqavvi Qalb (Cardiac tonic), Muqavvi Dimagh (Brain tonic), Muqavvi Jiger
						(Liver tonic), Muqavvi Meda (Gastric tonic), Muqavvi Hafiza wa Zehen (Memory
						Enhancer), Muqavvi Arvah Muna-ash Hararat Ghareezi (Procurator of Latent
						Energy of Body).",,Yaqoot (Ruby),"Aqeeq (Cornelio), 4 gm; BusudAhmer (Corallium rubrum), 4 gm; Feeroza (Ruby), 4 gm; Kehruba (Vateria indica gum), 4 gm; La-al Badakhshi (), 4 gm; Yaqoot Kabood (Ruby), 4 gm; Yaqoot Rumani (Ruby), 4 gm; Yashb (Jade), 4 gm; Zamarrud (Emerald), 4 gm; Amla (Emblica officinalis Gaertin fruit), 8 gm; Aqirqarha (Anacylus pyrethrum root), 8 gm; Baboona (Anthemis nobilis flower), 8 gm; Bozidan (Chrysanthemum indicum root), 8 gm; Dana Heel Khurd (Elettaria cardamomum seed), 8 gm; Dar Chini (Cinnamomum zeylanicum bark), 8 gm; Dar Filfil (Piper longum root), 8 gm; Daroonaj Aqrabi (Doronicum hookarii root), 8 gm; Haleela Siyah (Terminelia chebula unripe fruit), 8 gm; Inderjau (Wrightia tinctoria fruit), 8 gm; Post Haleela Zard (Terminelia chebula half ripe fruit), 8 gm; Qaranfal (Caryophyllus aromatica bud), 8 gm; Qust Sheereen (Sassurea lappa root), 8 gm; Qust Talkh (Costus arabicus root), 8 gm; Saad (Cyperus scariosus under ground stem), 8 gm; Sooranjan (Colchicum leutium root), 8 gm; Sumbuluttib (Nardostachis jatamansi root), 8 gm; Zaranbad (Curcuma zedoria root), 8 gm; Zaravand Mudharij (Aristolochia rotunda root), 8 gm; Anjdan (Ferula foetida latex), 15 gm; Asarun (Valeriana wallichii DC root), 15 gm; Behman safed (Centaurea behen root), 15 gm; Behman surkh (Salvia heamatodes root), 15 gm; Berg Gaozaban (Borage officinalis leaf), 15 gm; Bisbasa (Myristica fragrans fruit coat), 15 gm; Jaifal (Myristica fragrans fruit), 15 gm; Kabab Chini (Piper cubeba fruit), 15 gm; Kashneez Khushk (Coriandrum sativum fruit), 15 gm; Shaqaqul (Pustinaca secacul root), 15 gm; Tukhme Balanga (Lallemantia royleana seed), 15 gm; Ushna (Usnea longissima), 15 gm; Verq Nuqra (Silver leaf), 15 gm; Verq Tila (Gold Leaf), 15 gm; Kateera (Astragallus gummifera gum), 23 gm; Khurma Do Shaab (Phoenix dactylifera fruit’s), 23 gm; Samagh Arabi (Acacia arabica gum), 23 gm; Fad Zeher Hewani (Serpent stone or Gall stones of animals), 25 gm; Gile Makhtoom (Makhtoom clay), 25 gm; Jadwar (Delphinium denudatum root), 25 gm; Mastagi (Pistacia lantiscus gum), 25 gm; Roghan Balsan (Balsamodendron opobalsamum oil), 25 gm; Shahed Ki Makkhiyon ke chhattey ka Mel (Waste of Beehive), 25 gm; Abresham (Bombax mori cocoon), 32 gm; Junudbedster (Caster beaver), 32 gm; Khabsul Hadeed Mudabbar (Iron Rust detoxified), 32 gm; Kundur (Boswalia serrata gum), 32 gm; Marvareed (Mytilus margaritiferus pearl), 32 gm; Zafran (Crocus sativa gynacium), 32 gm; Amber (Ambera grasea), 37 gm; Beil ke Takhney ki Haddi Sokhta (Ash of talus of Ox), 37 gm; Bezae Kachhua (Tortoise egg), 37 gm; Bezae Murgh (Hen egg), 37 gm; Burada Dandan Feel (Ivory powder), 37 gm; Izkher (Cymbopogon jwarancusa herb), 37 gm; Maghz Sar kanjishk Ner (Male sparrow brain), 37 gm; Salaras (Liquidamber orientalis), 37 gm; Musk (Moschcus moschiferus secretion), 37 gm; Ral (Pinus longifolia latex), 37 gm; Regmahi (Lacerata sincus), 37 gm; Roghan Ood (Aquilaria agallocha fungus oil), 37 gm; Sartan Behri (Sceilla serrata), 37 gm; Qurs Isqeel (), 30 gm; Momiyaee (), 35 gm; Tukhme Datura (Datura. alba seed), 35 gm; Chob Chini (Smilax china root), 45 gm; Maya Shatur Airabi (Rennet of Camel), 45 gm; Salab Misri (Orchis latifolia root), 45 gm; Anisoon (Pimpinella anisum seed), 85 gm; Badiyan (Foeniculum vulgare Mill seed), 85 gm; Filfil Siyah (Piper nigrum fruit), 85 gm; Habbunneel (Ipomoea hederacea fruit), 85 gm; Hulba (Trigonella foenum-graceum seed), 85 gm; Toodri Surkh (Lepidium iberis seed), 85 gm; Toodri Zard (Mathiola incana seed), 85 gm; Tukhm Anjara (Astragallus sarcacola seed), 85 gm; Tukhm Chuqander (Beta vulgaris seed), 85 gm; Tukhm Gandana (Allium ascalonicum seed), 85 gm; Tukhm Gazer (Daucus carota seed), 85 gm; Tukhm Hilyun (Lepidium sativum seed), 85 gm; Tukhm Ispand (Peganum harmala seed), 85 gm; Tukhm Jarjir (Erusa sativa seed), 85 gm; Tukhm Karafs (Apium graveolence seed), 85 gm; Tukhm Khashkhash Safed (Papaver somniferum seed), 85 gm; Tukhm Pyaz (Allium cepa seed), 85 gm; Tukhm Shalgham (Bressica rapa seed), 85 gm; Tukhm Shibbat (Anthium sowa seed), 85 gm; Tukhm Turb (Rafanus sativa seed), 85 gm; Qurs Afai (), 100 gm; Berg Qinnab (Cannabis sativa leaf), 150 gm; Afiun (Papaver somniferum Linn latex), 10 gm; Atees (Aconitum heterophyllum Wall root), 10 gm; Bhangra (Anisomeles indica herb), 10 gm; Kibreet (Sulphur), 10 gm; Namak Hindi (Sodium chloride), 10 gm; Zanjabil (Zingiber officinalis rhizome), 10 gm; Neoley ka Khushk Gosht (Dried meat of Goose), 12 gm; Bazrulbanj (Hyoscyamus albus seed), 15 gm; Ersa (Iris ensata root), 15 gm; Ghareequn (Polyporus officinalis), 15 gm; Habbe Sanoober (Pinus longifolia fruit), 15 gm; Habbus Samna (Buchaninia lanzan fruit), 15 gm; Habbuz Zalam (Egyptian nut), 15 gm; Lajward Maghsool (Lapis lazuli cleaned), 15 gm; Maghz Akhrot (Juglans regia fruit kernel), 15 gm; Maghz Badam Sheereen (Prunus amygdalus fruit kernel), 15 gm; Maghz Badam Talkh (Prunus amygdalus amara fruit kernel), 15 gm; Maghz Chilghoza (Pinus gerardiana kernel), 15 gm; Maghz Funduq (Corylus avellana fruit kernel), 15 gm; Maghz Habbe Bakain (Melia Azadirach fruit kernel), 15 gm; Maghz Habbul qilqil (Cardiospermum halicacabum fruit kernel), 15 gm; Maghz Narjeel (Lodoicea maldivica Pers fruit pulp), 15 gm; Maghz Pamba Dana (Gossypium herbaceum seed kernel), 15 gm; Maghz Pista (Pistacia vera fruit kernel), 15 gm; Maghz Tukhm Kadu (Laginaria siceraria seed kernel), 15 gm; Maghz Tukhm Kharpaza (Cucumis melo seed kernel), 15 gm; Maghz Tukhm Khayaren (Cucumis sativa, Cucumis melo Linn var:
								utilissimus seed), 15 gm; Maghz Tukhm Paith (Benincasa hispida seed kernel), 15 gm; Maghz Tukhm Qurtum (Carthamus tinctorious fruit kernel), 15 gm; Muqil (Commiphora mukul gum), 15 gm; Revand Chini (Rheum palmatum root), 15 gm; Senna (Cassia senna leaf), 15 gm; Ustokhuddus (Lavandula stoechas flower), 15 gm; Sugar (), Equal to all above drug’s weight ; Asl (Honey), Two times of drug’s weight ; Sheera Murabba Gazer (), Two times of drug’s weight ; Aab Amrood (Psidium guyava fruit juice), 500 ml; Arq Bahar (), 500 ml; Arq Bed Mushk (), 500 ml; Arq Gulab (), 500 ml; Aab Anar Sheereen (Punica granatum sweet fruit juice), 1 litre; Aab Seb (Pyrus malus fruit juice), 1 litre; Sharab Angoor (Grape wine), 5 litre","Make Qiwam (Basic Solution of Particular consistency) of sugar and honey in
						all aqua and grape wine. Mix the powder of the drugs","1-3
						gm with milk"
Asl,This name was given due to ingredient Salab (Orchis latifolia root),"Muqavvi Bah (Aphrodisiac), Muqavvi Aasab (Nervine tonic)","Jiryan (Spermatorrhoea), Sur-ate Inzal (Premature ejaculation)",Salab (Orchis latifolia root),"Musk (Moschcus moschiferus secretion), 1 gm; Daroonaj (Doronicum hookarii root), 2 gm; Junudbedster (Caster beaver), 2 gm; Verq Nuqra (Silver leaf), 2 gm; Heel Kalan (Amomum subulatum fruit), 5 gm; Kazmazaj (Tamarix gallica abnormal growth), 5 gm; Ood (Aquilaria agallocha fungus), 5 gm; Samagh Arabi (Acacia arabica gum), 5 gm; Sumbuluttib (Nardostachis jatamansi root), 5 gm; Badranjboya (Melissa parviflora herb), 7 gm; Berg Gaozaban (Borage officinalis leaf), 7 gm; Franjmishk (Ocymum gratissimum seed), 7 gm; Maghz Badam Sheereen (Prunus amygdalus fruit kernel), 7 gm; Maghz Funduq (Corylus avellana fruit kernel), 7 gm; Maghz Habbe Sanoober (Pinus longifolia fruit kernel), 7 gm; Maghz Narjeel (Lodoicea maldivica Pers fruit), 7 gm; Maghz Pista (Pistacia vera fruit), 7 gm; Maghz Sar kanjishk Ner (Male sparrow brain), 7 gm; Paneer Maya ShaturAirabi (Rennet of Camel), 7 gm; Regmahi (Lacerata sincus), 7 gm; Behman safed (Centaurea behen root), 10 gm; Behman surkh (Salvia heamatodes root), 10 gm; Bisbasa (Myristica fragrans fruit coat), 10 gm; Bozidan (Chrysanthemum indicum root), 10 gm; Dar Filfil (Piper longum root), 10 gm; Jaifal (Myristica fragrance fruit), 10 gm; Kharkhasak (Tribulus teristerris fruit), 10 gm; Khashkhash Safed (Papaver somniferum seed), 10 gm; Kunjud Muqashsher (Sesamum indicum Husk less seed), 10 gm; Maghz Tukhme Kharpaza (Cucumis melo seed kernel), 10 gm; Mastagi (Pistacia lantiscus gum), 10 gm; Podina Khushk (Mentha arvensis herb), 10 gm; Qust Sheereen (Sassurea lappa root), 10 gm; Sooranjan (Colchicum leutium root), 10 gm; Toodri Surkh (Lepidium iberis seed), 10 gm; Toodri Zard (Mathiola incana seed), 10 gm; Tukhme Gazer (Daucus carota seed), 10 gm; Zafran (Crocus sativa gynacium), 10 gm; Zanjabil (Zingiber officinalis rhizome), 10 gm; Zaranbad (Curcuma zedoria root), 10 gm; Dar Chini (Cinnamomum zeylanicum bark), 14 gm; Heel Khurd (Elettaria cardamomum fruit), 14 gm; Inderjau sheereen (Wrightia tinctoria fruit), 14 gm; Qaranfal (Caryophyllus aromatica bud), 14 gm; Bazrulbanj (Hyoscyamus albus seed), 15 gm; Khoolanjan (Alpinia galanga root), 15 gm; Salab (Orchis latifolia root), 15 gm; Shaqaqul (Pustinaca secacul root), 15 gm; Asl (), Three times of all drugs weight ","Make powder of all drugs and mix in Qiwam (Basic Solution of Particular
						consistency) ofAsl (Honey).","5-10
						gm"
Asl,,"Muqavvi Meda (Gastric tonic), Muqavvi Ama (Intestine tonic), Muqavvi Qalb
						(Cardiac tonic)","Zofe Meda (Weakness of Stomach), Zofe Ama (Weakness of Intestine), Is-hal
						(Diorrhoea), Sangrahni (Sprue) and Zofe Qalb (Weakness of Heart)",,"Post Sangdana Murgh (Gizzard of cock), 10 gm; Tabasheer (Bambusa arundinasia dried exudate on node), 10 gm; Haleela Zard (Terminelia chebula half ripe fruit), 5 gm; Podina Khushk (Mentha arvensis herb), 5 gm; Post Beroon Pista (Pistacia vera fruit coat), 5 gm; Post Turanj (Citrus medica fruit coat), 5 gm; Behman safed (Centaurea behen root), 8 gm; Behman surkh (Salvia heamatodes root), 8 gm; Gule Surkh (Rosa damascena flower), 8 gm; Habbul Aas (Myrtus communis fruit), 8 gm; Kashneez Khushk (Coriandrum sativum fruit), 8 gm; Sandal safed (Santalum album wood), 8 gm; Sandal surkh (Pterocarpus santalinus wood), 8 gm; Satyr (Zataria multiflora leaf), 8 gm; Asl (Honey), Three times of all drugs weight ","Make powder of all drugs and mix in Qiwam (Basic Solution of Particular
						consistency) of Asl (Honey)","5-7
						gm"
Sugar,,"Habis Qabiz (Astringent), Mughalliz Mani (Semen viscosity), Muqavvi Bah
						(Aphrodisiac)","Sailanurraham (Vaginal Discharge), Sur-ate Inzal (Premature Ejaculation),
						Jiryan (Spermatorrhoea) and Zofe Bah (Sexual Weakness)",Supari (Areca catechu nut),"Favvah (Rubia cordifolia root), 100 gm; Khurma (Phoenix dactylifera fruit), 400 gm; Supari (Areca catechu nut), 200 gm; Doodh (Milk), 10 liters; Cook Favvah (Rubia cordifolia root),  ; Khurma (Phoenix dactylifera fruit),  ; Supari (Areca catechu nut),  ; Maghz Badam Sheereen Biryan (Prunus amygdalus fruit kernelroasted), 500 gm; Moong (Phaseolus aureus),  ; Nishasta Biryan (Starch roasted), 250 gm; Samagh Arabi Biryan (Acacia arabica gum roasted), 250 gm; Sugar (), 3 kg","Areca catechu nutin milk as they become soft. Mesh them well.Phaseolus
						aureus Powder fried well in Ghee. Make Qiwam (Basic Solution of Particular
						consistency) of sugar and mix all above drugs then mix the powder of
						following drugs. Kharkhasak (Tribulus teristerris fruit) 500gm Chinya Gond
						(Butea frondosa gum) 250gm Narjeel (Lodoicea maldivica Pers fruit) 250gm Dar
						Chini (Cinnamomum zeylanicum bark) 50gm Qaranfal (Caryophyllus aromatica
						bud) 50gm Heel Khurd (Elettaria cardamomum fruit) 50gm Zanjabil (Zingiber
						officinalis rhizome) 50gm Gule Pista (Pistacia vera flower) 15gm Gule Supari
						(Areca catechu flower) 15gm Jaifal (Myristica fragrance fruit) 20gm Chhal
						Babool (Acacia arabica bark) 6gm Chhal Kachnal (Bouthenia recemosa bark) 6gm
						Chhal Sankhahuli (Canscora decussata bark) 6gm Lastly mix following drugs in
						Qiwam (Basic Solution of Particular consistency) by grinding them in
						suitable aqua. Zafran (Crocus sativa gynacium) 10gm Musk (Moschcus
						moschiferus secretion) 2gm","10-20
						gm"
Chini,,Musaffi Dam (Blood purifier),"Fasad Dam (Blood problem), Kharish (Itching), Wajaul Mafasil (Arthralgia),
						Atishak (Syphilis), Bavaseer (Piles)",Ushba (Sarsaparilla indica herb),"Afteemoon (Cuscuta reflexa herb), 20 gm; Berg Gaozaban (Borage officinalis leaf), 20 gm; Bisfaij (Polypodium vulgare Linn root), 20 gm; Kabab Chini (Piper cubeba fruit), 20 gm; Ushba (Sarsaparilla indica herb), 20 gm; Chob Chini (Smilax china root), 30 gm; Gule Surkh (Rosa damascena flower), 30 gm; Sandal safed (Santalum album wood), 30 gm; Sandal surkh (Pterocarpus santalinus wood), 30 gm; Senna (Cassia senna leaf), 40 gm; Post Balela (Terminelia belerica fruit coat), 10 gm; Sumbuluttib (Nardostachis jatamansi root), 10 gm; Haleela Siyah (Terminelia chebula unripe fruit), 6 gm; Post Haleela Zard (Terminelia chebula half ripe fruit coat), 6 gm; Asl (Honey), 500 gm; Chini (Sugar), 750 gm","Make powder of all drugs and mix in Qiwam (Basic Solution of Particular
						consistency) of Chini (Sugar) and Asl (Honey) in water.","5-7
						gm"
Roghan Zetoon,"Dakhilyun is word of Suryani language, which means mucilage. Its name
						Dakhilyun is due to Luabat (Mucilage). Buqrat (Hippocrate) prepared it. Its
						basic ingredients are Roghan Zetoon (Olea europaea oil), Murdar sang
						(Monoxide of lead), and mucilage.",,,Luabat (Mucilage),"Murdar sang (Monoxide of lead), 60 gm; Tukhme Aspghol (Plantago ovata Forsk seed), 20 gm; Tukhme Hulba (Trigonella foenum-graceum seed), 20 gm; Tukhme Kanocha (Phyllanthus maderaspatensis seed), 20 gm; Tukhme Katan ((Linum usitatissimum seed), 20 gm; Tukhme Khatmi (Althea officinalis seed), 20 gm; Roghan Zetoon (Olea europaea oil), 125 gm","Soak all the seeds in water at night. In the morning get mucilage by meshing
						well. Make powder of Murdar sang (Monoxide of lead) and mix all the matter.
						Now cook them on fire and stir with wood stick. When only oil remains, take
						off from fire and filter it.",Use it as paste.
Kafoor,,,,Kafoor (Cinnamomum camphora dried extract),"Safeda (Plumbi carbonas), 8 gm; Mom safed (white wax), 8 gm; Roghan Sarson (Bressica oil), 8 gm; Safedi Bezae Murgh (Hen egg’s white), 8 gm; Kafoor (Cinnamomum camphora dried extract), 2 gm","Make powder of Safeda (Plumbi carbonas) and Kafoor (Cinnamomum camphora
						dried extract). Heat Mom safed (white wax), Roghan Sarson (Bressica oil) and
						mix them.Add powder of two drugs. Let it be cool. Add Egg white and mix
						well.",Use at the affected sight
Roghan Mom,,,,Mazoo (Quercus infectoria abnormal growth),"Mazoo (Quercus infectoria abnormal growth), 50 gm; Roghan Mom (Wax oil), 500 gm",Ground well Mazoo (Quercus infectoria abnormal growth) with Roghan Mom.,Paste on piles
